Question Number,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,TYPE
1,"Who is known as the ""King of Bollywood""?",Shah Rukh Khan,Aamir Khan,Salman Khan,Hrithik Roshan,Shah Rukh Khan,TEXT
2,"Which actor starred in the movie ""Dangal""?",Ranbir Kapoor,Aamir Khan,Salman Khan,Akshay Kumar,Aamir Khan,TEXT
3,"Who played the role of the superhero Krish in the movie ""Krrish""?",Hrithik Roshan,Shah Rukh Khan,Salman Khan,Akshay Kumar,Hrithik Roshan,TEXT
4,Which Bollywood actor is also known for his singing talent?,Arijit Singh,Sonu Nigam,Neha Kakkar,Himesh Reshammiya,Sonu Nigam,TEXT
5,"Who was the lead actor in the movie ""Bajirao Mastani""?",Ranveer Singh,Arjun Kapoor,Shahid Kapoor,Hrithik Roshan,Ranveer Singh,TEXT
6,"Which actor is famous for his role in the movie ""PK""?",Salman Khan,Shah Rukh Khan,Aamir Khan,Akshay Kumar,Aamir Khan,TEXT
7,"Which actress starred opposite Shah Rukh Khan in ""Dilwale""?",Deepika Padukone,Kajol,Kareena Kapoor,Kriti Sanon,Kriti Sanon,TEXT
8,"Who won the National Film Award for Best Actor for the movie ""Chhichhore""?",Sushant Singh Rajput,Rajkummar Rao,Ayushmann Khurrana,Shahid Kapoor,Sushant Singh Rajput,TEXT
9,"Which Bollywood actor is also a producer and owns the production company ""Arka Media Works""?",Amitabh Bachchan,Salman Khan,Aamir Khan,Shah Rukh Khan,Aamir Khan,TEXT
10,"Who starred as the lead in the movie ""Kabir Singh""?",Sidharth Malhotra,Shahid Kapoor,Ranveer Singh,Vicky Kaushal,Shahid Kapoor,TEXT
11,"Which actor played the role of ""Bajrangi"" in the movie ""Bajrangi Bhaijaan""?",Salman Khan,Aamir Khan,Ranbir Kapoor,Ajay Devgn,Salman Khan,TEXT
12,"Which Bollywood actor has the nickname ""Khiladi Kumar""?",Aamir Khan,Shah Rukh Khan,Akshay Kumar,Salman Khan,Akshay Kumar,TEXT
13,"Which actor is known for his role in ""Zindagi Na Milegi Dobara""?",Ranveer Singh,Hrithik Roshan,Salman Khan,Arjun Kapoor,Hrithik Roshan,TEXT
14,"Who starred in the movie ""Tanu Weds Manu""?",Salman Khan,Rajkummar Rao,Kangana Ranaut,Madhavan,Madhavan,TEXT
15,"Which actor is famous for his role as ""Munnabhai"" in the movie series?",Amitabh Bachchan,Shahrukh Khan,Sanjay Dutt,Salman Khan,Sanjay Dutt,TEXT
16,"Who is known as the ""Dabangg"" of Bollywood?",Salman Khan,Amitabh Bachchan,Shah Rukh Khan,Hrithik Roshan,Salman Khan,TEXT
17,"Which actress is known as the ""Queen of Bollywood""?",Kareena Kapoor,Deepika Padukone,Kangana Ranaut,Priyanka Chopra,Kangana Ranaut,TEXT
18,"Who played the role of ""Joker"" in the movie ""Joker""?",Rajkummar Rao,Akshay Kumar,Salman Khan,Hrithik Roshan,Akshay Kumar,TEXT
19,"Which Bollywood actor is famous for his movies ""Lagaan"" and ""Taare Zameen Par""?",Aamir Khan,Shah Rukh Khan,Ranbir Kapoor,Salman Khan,Aamir Khan,TEXT
20,"Which actor played the role of ""Bajirao"" in the movie ""Bajirao Mastani""?",Ranveer Singh,Hrithik Roshan,Shahid Kapoor,Salman Khan,Ranveer Singh,TEXT
21,"Which actress starred opposite Ranbir Kapoor in ""Ae Dil Hai Mushkil""?",Deepika Padukone,Anushka Sharma,Katrina Kaif,Alia Bhatt,Anushka Sharma,TEXT
22,"Who starred as ""Mastani"" in the movie ""Bajirao Mastani""?",Katrina Kaif,Priyanka Chopra,Deepika Padukone,Sonakshi Sinha,Deepika Padukone,TEXT
23,"Which actor is known for his iconic role in ""Dil Chahta Hai""?",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Shah Rukh Khan,Aamir Khan,TEXT
24,"Which Bollywood actress won the Filmfare Award for Best Actress for ""Piku""?",Priyanka Chopra,Kangana Ranaut,Deepika Padukone,Deepika Padukone,Deepika Padukone,TEXT
25,"Who starred in the movie ""Kabhi Alvida Naa Kehna""?",Shah Rukh Khan,Amitabh Bachchan,Aishwarya Rai,Rani Mukerji,Shah Rukh Khan,TEXT
26,"Which actor is known for his role in the movie ""Sultan""?",Salman Khan,Ranveer Singh,Shah Rukh Khan,Aamir Khan,Salman Khan,TEXT
27,"Who starred as ""Jai"" in the movie ""Sholay""?",Amitabh Bachchan,Dharmendra,Shashi Kapoor,Rajesh Khanna,Amitabh Bachchan,TEXT
28,"Which actor is known as the ""Greek God of Bollywood""?",Shah Rukh Khan,Hrithik Roshan,Salman Khan,Ranveer Singh,Hrithik Roshan,TEXT
29,"Who played the role of ""Sher Singh"" in the movie ""Sher Singh""?",Ranbir Kapoor,Ajay Devgn,Salman Khan,Shah Rukh Khan,Ajay Devgn,TEXT
30,"Which Bollywood actress starred in ""Jab Tak Hai Jaan"" with Shah Rukh Khan?",Katrina Kaif,Deepika Padukone,Priyanka Chopra,Kajol,Katrina Kaif,TEXT
31,"Which Bollywood actor is known for his role in ""Andhadhun""?",Ayushmann Khurrana,Rajkummar Rao,Kartik Aaryan,Vicky Kaushal,Ayushmann Khurrana,TEXT
32,"Who starred in the movie ""Dilwale Dulhania Le Jayenge""?",Shah Rukh Khan,Salman Khan,Ranbir Kapoor,Ajay Devgn,Shah Rukh Khan,TEXT
33,"Who played the role of ""Rani Padmini"" in the movie ""Padmaavat""?",Deepika Padukone,Priyanka Chopra,Kangana Ranaut,Aishwarya Rai,Deepika Padukone,TEXT
34,"Which actor played ""Guru"" in the movie ""Guru""?",Abhishek Bachchan,Salman Khan,Amitabh Bachchan,Shah Rukh Khan,Abhishek Bachchan,TEXT
35,"Which actress is known for her role in the movie ""Chhapaak""?",Deepika Padukone,Kangana Ranaut,Alia Bhatt,Vidya Balan,Deepika Padukone,TEXT
36,"Which Bollywood actor was part of the movie ""3 Idiots""?",Aamir Khan,Shah Rukh Khan,Salman Khan,Akshay Kumar,Aamir Khan,TEXT
37,"Who starred in the movie ""Kesari""?",Salman Khan,Ranbir Kapoor,Ajay Devgn,Akshay Kumar,Akshay Kumar,TEXT
38,"Which actor starred as ""Dabangg"" in the movie ""Dabangg""?",Salman Khan,Amitabh Bachchan,Ajay Devgn,Hrithik Roshan,Salman Khan,TEXT
39,"Who played the role of ""Ayaan"" in the movie ""Rock On!!""?",Farhan Akhtar,Riteish Deshmukh,Arjun Rampal,Shah Rukh Khan,Farhan Akhtar,TEXT
40,"Which Bollywood actor played the lead in ""Student of the Year""?",Sidharth Malhotra,Varun Dhawan,Tiger Shroff,Arjun Kapoor,Varun Dhawan,TEXT
41,"Who starred in the movie ""Chennai Express""?",Shah Rukh Khan,Salman Khan,Hrithik Roshan,Akshay Kumar,Shah Rukh Khan,TEXT
42,"Which actor starred in the film ""Raees""?",Salman Khan,Aamir Khan,Shah Rukh Khan,Ranbir Kapoor,Shah Rukh Khan,TEXT
43,"Who is the lead actor in the movie ""Jab Harry Met Sejal""?",Shah Rukh Khan,Salman Khan,Hrithik Roshan,Ranbir Kapoor,Shah Rukh Khan,TEXT
44,"Who is the actor in ""Bajirao Mastani"" known for his dancing skills?",Ranveer Singh,Hrithik Roshan,Shahid Kapoor,Arjun Kapoor,Ranveer Singh,TEXT
45,"Who played the role of 'Gully Boy' in the movie ""Gully Boy""?",Ranveer Singh,Siddharth Malhotra,Ayushmann Khurrana,Shah Rukh Khan,Ranveer Singh,TEXT
46,"Which actor is best known for his role in ""Taare Zameen Par""?",Aamir Khan,Shah Rukh Khan,Salman Khan,Akshay Kumar,Aamir Khan,TEXT
47,"Who starred in the film ""Baazigar""?",Shah Rukh Khan,Salman Khan,Aamir Khan,Hrithik Roshan,Shah Rukh Khan,TEXT
48,"Who played the role of ""Munna Bhai"" in ""Munna Bhai MBBS""?",Sanjay Dutt,Ajay Devgn,Salman Khan,Shah Rukh Khan,Sanjay Dutt,TEXT
49,"Who is the actor in ""Goliyon Ki Raasleela Ram-Leela""?",Ranveer Singh,Hrithik Roshan,Shahid Kapoor,Salman Khan,Ranveer Singh,TEXT
50,"Who is the actor in the movie ""Bang Bang!""?",Hrithik Roshan,Shah Rukh Khan,Salman Khan,Aamir Khan,Hrithik Roshan,TEXT
