question,answer,option1,option2,option3,option4,type,link,difficulty,roundId,updatedAt
Radio jingle is,OPTION4,the identity of a radio station,mix of music and lyrics,branding tool,all the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Radio club of Bombay made the first ever broadcast in India in the year,OPTION3,1921,1923,1927,1929,TEXT,,EASY,1,2024-11-26T11:30:24.250425
The first radio programme in India was broadcast by the ��������.,OPTION2,Radio Club of Calculta,Radio Club of Bombay,PTI,Doordarshan,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following radio programme prefers Bi-directional microphone for recording?,OPTION2,radio talk,radio interview,radio drama,radio news,TEXT,,EASY,1,2024-11-26T11:30:24.250425
______ Microphone is preferred for a radio interview,OPTION2,uni-directional,bi-directional,omni-directional,none of the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following microphone is sensitive to all directions,OPTION3,unidirectional microphone,bi-directional microphone,omni directional microphone,multi-directional microphone,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which of the following microphone requires power to function?,OPTION2,dynamic microphone,condenser microphone,lavaliere microphone,all the above,TEXT,,EASY,1,2024-11-26T11:30:24.250425
How does a RF Microphone work?,OPTION2,using infrared rays,using radio waves,using x-rays,using power waves,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"In DAB, what does the letter �A� stand for?",OPTION2,Asterisk,Audio,Antenna,Automatic,TEXT,,EASY,1,2024-11-26T11:30:24.250425
What does the Latin Word �Communis� mean?,OPTION3,Commute,Communication,Common,None of these,TEXT,,EASY,1,2024-11-26T11:30:24.250425
The word Akashavani means,OPTION2,waves of the sky,voice from the sky,frequency of the sky,volume of the sky,TEXT,,EASY,1,2024-11-26T11:30:24.250425
All India Radio is known as Akashavani since,OPTION3,1952,1954,1956,1958,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Which is the official online mobile application of All India Radio?,OPTION4,air pool,air broadcast,air stream,news on air,TEXT,,EASY,1,2024-11-26T11:30:24.250425
There are ________ All India Radio AM stations in Kerala,OPTION3,3,5,7,9,TEXT,,EASY,1,2024-11-26T11:30:24.250425
Frequencies are allotted for Radio stations in India by,OPTION3,state government,district collector,central government,no need for allocation,TEXT,,EASY,1,2024-11-26T11:30:24.250425
AIR owns _______ stations in the country,OPTION2,240,420,620,320,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"At the time of Independence, AIR Network hand only ������. Stations",OPTION2,Three,Six,One,Four,TEXT,,EASY,1,2024-11-26T11:30:24.250425
When did AIR (All India Radio) come under the department of Information and Broadcasting?,OPTION1,"Oct 24, 1941","Sept 3, 1940","March 2, 1950","Dec 7, 1956",TEXT,,EASY,1,2024-11-26T11:30:24.250425
"Doordarshan was delinked from All India Radio, in the year?",OPTION1,1976,1970,1983,1980,TEXT,,EASY,1,2024-11-26T11:30:24.250425
A Community Radio is operated by,OPTION3,government,prasar bharati,community,private agency,TEXT,,EASY,1,2024-11-26T11:30:24.250425
"Which Indian cricketer is known as the ""Master Blaster""?",OPTION1,Sachin Tendulkar,V Sahvag,M S Dhoni,Virat Kohli,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which sport is associated with the Dronacharya Award?,OPTION2,Football,Coaching (all sports),Cricket,Hockey,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who was the first Indian woman to win a silver medal at the Olympics?,OPTION2,P T Usha,P.V. Sindhu,Sakshi Malik,Saina Nehwal,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which Indian cricketer holds the record for the highest individual score in a test match?,OPTION1,Virender Sehwag,Virat Kohli,Sunil Gavaskar,Sachin Tendulkar,TEXT,,EASY,2,2024-11-26T11:30:24.250425
In which year did India win its first Cricket World Cup?,OPTION2,1987,1983,1992,1979,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who was the captain of the Indian football team during the 1962 Asian Games when India won gold?,OPTION2,Bhaichung Bhutia,Chuni Goswami,I.M. Vijayan,Sailen Manna,TEXT,,EASY,2,2024-11-26T11:30:24.250425
"What does the term ""hat-trick"" mean in cricket?",OPTION2,Three runs in three balls,Three wickets in three balls,Three runs in three overs,Three players scoring the same amount,TEXT,,EASY,2,2024-11-26T11:30:24.250425
In which sport do players compete for the Stanley Cup?,OPTION1,Ice Hockey,Basketball,Baseball,Football,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who is the all-time leading scorer in NBA history as of 2024?,OPTION3,Michael Jordan,Kareem Abdul-Jabbar,LeBron James,Kobe Bryant,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which tennis player has won the most Grand Slam titles in the men's category?,OPTION3,Pete Sampras,Rafael Nadal,Novak Djokovic,Roger Federer,TEXT,,EASY,2,2024-11-26T11:30:24.250425
What is the national sport of Japan?,OPTION2,Cricket,Sumo wrestling,Baseball,Karate,TEXT,,EASY,2,2024-11-26T11:30:24.250425
In which country did the 2016 Summer Olympics take place?,OPTION3,China,United Kingdom,Brazil,Russia,TEXT,,EASY,2,2024-11-26T11:30:24.250425
In which year was the first modern Olympic Games held?,OPTION2,1900,1896,1924,1932,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who holds the record for most goals in World Cup history?,OPTION2,Ronaldo,Miroslav Klose,Lionel Messi,Pel�,TEXT,,EASY,2,2024-11-26T11:30:24.250425
What is the maximum break possible in snooker?,OPTION1,147,155,150,145,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Which country is known for the sport of sumo wrestling?,OPTION3,South Korea,China,Japan,Mongolia,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who won the 2020 NBA Finals?,OPTION2,Miami Heat,Los Angeles Lakers,Golden State Warriors,Toronto Raptors,TEXT,,EASY,2,2024-11-26T11:30:24.250425
"Which sport involves a ""puck""?",OPTION1,Ice Hockey,Lacrosse,Field Hockey,Rugby,TEXT,,EASY,2,2024-11-26T11:30:24.250425
"Who is known as ""The Greatest of All Time"" (GOAT) in boxing?",OPTION2,Mike Tyson,Muhammad Ali,Floyd Mayweather,Manny Pacquiao,TEXT,,EASY,2,2024-11-26T11:30:24.250425
Who was the first woman to win an Olympic gold medal in boxing?,OPTION2,Mary Kom,Nicola Adams,Claressa Shields,Katie Taylor,TEXT,,EASY,2,2024-11-26T11:30:24.250425
"""The ultimate driving machine"" is the tagline of ….?",OPTION2,Maruti Suzuki,BMW,Innova,Skoda,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Made from the best stuff on earth"" is the tagline of ….?",OPTION1,Snapple,Apple,Axe,Ozone,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Get your own box"" is the tagline of …..?",OPTION1,Cheez it,Kellogs,McDonalds,None of these,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Zindagi ke sath bhi zindagi ke bad bhi"" is the tagline of …..?",OPTION4,Bharti Axa Life Insurance,Star Union Dai Ichi,ICICI Prudential,LIC,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Taste of Feelinf"" is the Tagline of …..?",OPTION1,Coca Cola,Pepsi,Mirinda,7' UP,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""A passion for the road"" is the tagline of …..?",OPTION2,Mazda,Tata Safari,BMW,MRF Tyres,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""We know money"" is the tagline of …..?",OPTION2,AXA,AIG,Lombard,Dai Echi,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Dimag ki batti jala de"" is the tagline of …....?",OPTION1,Mentos,Cadbury,Dairy Milk,Nutrine,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""The taste of India"" id the tagline of …...?",OPTION3,Mother Dairy,Sudha,Amul,Ananda,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Tyres with muscles"" is the tagline of ….?",OPTION2,Micheline,MRF Tyres,Apollo Tyres,Bridgestone,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Happiest place on earth"" is the tagline of …. ?",OPTION3,Switzerland,Kashmir,Disneyland,France,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Pure Banking, nothing else"" is the tagline of …..?",OPTION4,Punjan National Bank,Bsnk of Baroda,Axis Bank,State Bank of India,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Life's Good is the tagline of …..?",OPTION4,Samsung,Havells,Philips,LG,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Bajate Raho"" is the tagline of ….. ?",OPTION1,Red FM 93.5 ,All India Radio,Radio Mirchi,Vividh Bharti,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""India's International Bank"" is the tagline of …. ?",OPTION3,HDFC Bank Ltd.,ICICI Bank Lrd.,Bank of Baroda,Axis Bank,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Impossible is nothing"" is the tagline of … ?",OPTION2,Puma,Adidas,Nike,Wildcraft,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Born tough"" is the tagline of … ?",OPTION4,JK Tyres,Micheline,Good Year India,CEAT,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Experience Change"" is the tagline of …. ?",OPTION4,Acer,Bosch,BPL,Videocon,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Fly the new feelings"" is the tagline of ….? ",OPTION2,Yellow Pages,Vistara,Air India,Indigo,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Value for Money"" is the tagline of … ?",OPTION1,Vishal Mega Mart,Decathalon,Big Bazar,Lu lu Mall,TEXT,,EASY,3,2024-11-26T11:30:24.250425
"""Har needs ke liye best deals"" is the tagline of …. ?",OPTION1,Flipkart,Amazon,OLX,CarDekho.com,TEXT,,EASY,3,2024-11-26T11:30:24.250425
