question,answer,option1,option2,option3,option4,type,link,difficulty
"Which brand uses the slogan I'm livin it""?",McDonald's,HP,COCA COLA,McDonald's,Walmart,text,,Easy
"Which brand is associated with the slogan ""JUST DO IT""?",Nike,Nike,Adidas,Reebok,Goodyear,text,,Easy
"Which brand uses the slogan ""It's Finger-Lickin Good""?",KFC,Popeye's ,Mrs. Winters,KFC,ChikFila,text,,Easy
"Which brand uses the slogan ""Strong enough for a man, made for a women""?",Secret,Degree,Secret,Mitchum,Old Spice,text,,Easy
"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",M&M's,Hershey's,M&M's,Reese's,Milky Way,text,,Easy
"Which brand is represented by the slogan ""Snap, crackle, pop""?",Kellogs,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,text,,Easy
"Which brand uses the slogan ""When you care enough to send the very best""?",Hallmark,FTD Flowers,FedEx,Hallmark,UPS,text,,Easy
"Which brand is associated with the slogan ""Always low prices""?",Wal-Mart,Kmart,Wal-Mart,Low's,The Home Depot,text,,Easy
"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",Mazda,Mazda,Toyota,Subaru,Kia,text,,Easy
"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",Maybelline,Degree,Revlon,Maybelline,Maxim,text,,Easy
"Which brand uses the slogan ""Betcha can't eat just one""?",Lay's,Lay's,Fritos,Doritos,Grippos,text,,Easy
"Which brand is associated with the slogan ""Eat Fresh""?",Subway,Panera,Subway,KFC,Jimmy John's,text,,Easy
"Which brand is represented by the slogan ""There are something money can't buy. For everything else, there's �...""?",Mastercard,Visa,American Express,Mastercard,Discover,text,,Easy
"Which airline uses the slogan ""You are now free to move about the country""?",Southwest,Southwest,American ,Continental,Delta,text,,Easy
"Which brand is represented by the slogan ""Because You're Worth it""?",L'Oreal,Maybelline,L'Oreal,Olay,Revlon,text,,Easy
"Which company is represented by the slogan ""There is a little bit of �.. in everybody's life""?",SAIL,SAIL,Iron,NTPC,HAL,text,,Easy
"""Connecting India"" is a Tagline of �..?",BSNL,Airtel,Vodafone Idea,BSNL,Reliance Jio,text,,Easy
"""Think Different"" is the Slogan of �..""?",Apple,HP,Dell,Apple,Samsung,text,,Easy
"""Are yahi to hai desh ki dhadkan"" is the slogan of �.?",Hero Honda,Honda,Hero,Hero Honda,TVS,text,,Easy
"""The future of computing"" is the tagline of �..?",AMD,Samsung,Apple,LG,AMD,text,,Easy
"""Imagine the possibilities"" is the tagline of �..?",Samsung,Samsung,Atari,MicroMax,Nokia,text,,Easy
"""The power of dreams"" is the Tagline of �..?",Honda,TVS,Bajaj,Hero Honda,Honda,text,,Easy
"""Hum me hai �."" is the Tagline of ",Hero,Honda,Hero,Yamaha,Royal Enfield,text,,Easy
"""Connecting People"" is the tagline of �..?",Nokia,eKart,FedEx,Nokia,Vivo,text,,Easy
"""Connecting People Improving Lives"" is the Tagline of �...?",DHL,BlueDart,DTDC,Nokia,DHL,text,,Easy
"""Delivering Value"" is the tagline of �..?",DTDC,eCom,Ekart Logistics,DHL,DTDC,text,,Easy
"""The energy of India"" is the Tagline of �....?",IOCL,HAL,NTPC,IOCL,Bharat Petroleum,text,,Easy
"""We also make tomorrow"" is the tagline of �.?",TISCO,TISCO,TELCO,SAIL,BHEL,text,,Easy
"""Alarm Bajne se pahle jago re"" is the Tagline of �..?",Tata Tea,Ajanta Watches,Titan Watches,Tata Tea,Wagh Bakri Chay,text,,Easy
"""Taaza ho le"" is the Tagline of �..?",Taaza Tea,Reliance Fresh,Taaza Tea,Upper Assam Tea,Tata Tea,text,,Easy
The Tagline of Indian Tourism is �..?,Incredible India,Padharo Mahare Desh,Incredible India,Just Imagine,Rang Biranga Desh,text,,Easy
"""The man your man could smell like"" is the Tagline of �...?",Old Spice,Gillette,Park Avenue,Old Spice,Axe,text,,Easy
Think Different is the Tagline of �...?,Apple,Orange,Apple,Grapes,Banana,text,,Easy
"""Twist, Lick, Dunk"" is the Tagline of �..?",Oreo,Skittles,Rainbow,Oreo,Kellogs,text,,Easy
"""The ultimate driving machine"" is the tagline of �.?",BMW,Maruti Suzuki,BMW,Innova,Skoda,text,,Easy
"""Made from the best stuff on earth"" is the tagline of �.?",Snapple,Snapple,Apple,Axe,Ozone,text,,Easy
"""Get your own box"" is the tagline of �..?",Cheez it,Cheez it,Kellogs,McDonalds,None of these,text,,Easy
"""Dirty Mouth? Clean it up"" is the tagline of �.?",Orbit,Colgate,Sensodyne,Orbit,Dabur Red Tooth Paste,text,,Easy
"""Taste of Feelinf"" is the Tagline of �..?",Coca Cola,Coca Cola,Pepsi,Mirinda,7' UP,text,,Easy
"""A passion for the road"" is the tagline of �..?",Tata Safari,Mazda,Tata Safari,BMW,MRF Tyres,text,,Easy
"""We know money"" is the tagline of �..?",AIG,AXA,AIG,Lombard,Dai Echi,text,,Easy
"""Dimag ki batti jala de"" is the tagline of �....?",Mentos,Mentos,Cadbury,Dairy Milk,Nutrine,text,,Easy
"""The taste of India"" id the tagline of �...?",Amul,Mother Dairy,Sudha,Amul,Ananda,text,,Easy
"""Tyres with muscles"" is the tagline of �.?",MRF Tyres,Micheline,MRF Tyres,Apollo Tyres,Bridgestone,text,,Easy
"""Whenever you go, your network follows"" is the tagline is�...?",Hutchison Essar,Aircel,Airtel,Hutchison Essar,Reliance Jio,text,,Easy
"""Pure Banking, nothing else"" is the tagline of �..?",State Bank of India,Punjan National Bank,Bsnk of Baroda,Axis Bank,State Bank of India,text,,Easy
"""Life's Good is the tagline of �..?",LG,Samsung,Havells,Philips,LG,text,,Easy
"""Bajate Raho"" is the tagline of �.. ?",Red FM 93.5 ,Red FM 93.5 ,All India Radio,Radio Mirchi,Vividh Bharti,text,,Easy
"""India's International Bank"" is the tagline of �. ?",Bank of Baroda,HDFC Bank Ltd.,ICICI Bank Lrd.,Bank of Baroda,Axis Bank,text,,Easy
"""Impossible is nothing"" is the tagline of � ?",Adidas,Puma,Adidas,Nike,Wildcraft,text,,Easy
"""Born tough"" is the tagline of � ?",CEAT,JK Tyres,Micheline,Good Year India,CEAT,text,,Easy
"""Experience Change"" is the tagline of �. ?",Videocon,Acer,Bosch,BPL,Videocon,text,,Easy
"""Just do it"" is the tagline of � ?",Nike,Adidas,Nike,Wildcraft,Philips,text,,Easy
"""Value for Money"" is the tagline of � ?",Vishal Mega Mart,Vishal Mega Mart,Decathalon,Big Bazar,Lu lu Mall,text,,Easy
"""Har needs ke liye best deals"" is the tagline of �. ?",Flipkart,Flipkart,Amazon,OLX,CarDekho.com,text,,Easy
"""High Performance Delivered"" is the tagline of �. ?",Accenture,HCL,TCS,Accenture,EXL,text,,Easy
"""Fly the new feelings"" is the tagline of �.? ",Vistara,Yellow Pages,Vistara,Air India,Indigo,text,,Easy
"""Zindagi ke sath bhi zindagi ke bad bhi"" is the tagline of �..?",LIC,Bharti Axa Life Insurance,Star Union Dai Ichi,ICICI Prudential,LIC,text,,Easy
"""The engineers choice"" is the tagline of �..?",Ultra Tech Cement,ACC Cement,Shree Cement,Ultra Tech Cement,None of these,text,,Easy
"""Happiest place on earth"" is the tagline of �. ?",Disneyland,Switzerland,Kashmir,Disneyland,France,text,,Easy
"""American by birth, Rebel by choice"" is the tagline of �. ?",Harley Davidson,Harley Davidson,Royal Enfield,Yezdi,Yamaha,text,,Easy
"""Supercharging progress"" is the tagline of .'� ?",HCL Tech,IBM,HCL Tech,TCS,Satyam,text,,Easy
"""Share Moments Share Life"" is the tagline of �. ?",Kodak,Kodak,Fuji,Konica,Kowa,text,,Easy
"""�.... Gives you wings"" is the tagline of �.?",Red Bull,Red Bull,Biman Bangladesh,PIA,Saudia,text,,Easy
"""Khayal Apka"" is the tagline of �..?",ICICI Bank Ltd.,PIA,ICICI Bank Ltd.,Saudia,HDFC Bank,text,,Easy
"""We understabd your world"" is the tagline of �.?",HDFC Bank,Axis Bank,British Airways,HDFC Bank,Punjab and Sind Bank,text,,Easy
"""Better World"" is the tagline of �.. ?",British Airways,UNO,IMF,British Airways,Biman Bangladesh,text,,Easy
"""Service Before Help"" is the tagline of �.?",IndiaPost,IndiaPost,DTDC,US Airways,Sri Lankan Airlines,text,,Easy
"""Lets go places"" is the tagline of � ?",Toyota,Innova,Toyota,Thar,BMW,text,,Easy
"""Everyone's invited"" is the tagline of � ?",Samsung,Samsung,LG,Videocon,Havells,text,,Easy
"""More creations, More possibilities"" is the tagline of � ?",Haier,Kenstar,Blue Star,Voltas,Haier,text,,Easy
"""The worlds local bank"" is the tagline of � ?",HSBC,HSBC,Standard Chartered Bank,Deutche Bank,Citibank,text,,Easy
"""The steel of India"" is the tagline of � ?",Jindal Steel,Tata Steel,Larsen and Toubro,Jindal Steel,SAIL,text,,Easy
"""Dobara mat puchhna"" is the punchline of ... ?",ChlorMint,ChlorMint,Dark Chocolates,Lindt Excellence,None of these,text,,Easy
"""Drivers wanted"" is the tagline of �.?",Volkswagen,Innova,BMW,Maruti Suzuki,Volkswagen,text,,Easy
"""Always low prices"" is the tagline of �... ?",Wall Mart,Big Bazar,Wall Mart,Vishal Mega Mart,None of these,text,,Easy
"""The jeans that built America"" is the tagline of � ?",Lee,Levis,Lee,Allen Solly,Wrangler,text,,Easy
"""The edge is efficiency"" is the tagline of �. ?",Bombay Stock Exchange,National Stock Exchange,Bombay Stock Exchange,OTC Exchange of India,Bangalore Stock Exchange,text,,Easy
"""The tasty healthy food: World's largest selling biscuit"" is the tagline of � ?",Parle,Britannia,Parle,Oreo,Sunfeast,text,,Easy
"""The good food, good life company"" is the tagline of �. ?",Nestle,Sunfeast,Britannia,Nestle,The pizza hut,text,,Easy
"""Rise up baby"" is the tagline of �.. ?",Pepsico,Pepsico,Mirinda,7 UP,Limca,text,,Easy
"""Celebrate Life"" is the tagline of �. ?",Dabur,Patanjali,Dabur,Himalya,None of these,text,,Easy
"""Discover a passion"" is the tagline of �. ?",ITC Wills Classic Cigarrette,Gold Flake,ITC Wills Classic Cigarrette,,None of these,text,,Easy
"""Small actions big difference"" is the tagline of   ?",Hindustan Uniliver Limited,ITC Ltd.,Hindustan Uniliver Limited,Reliance Indistries,Adani Edible Oils,text,,Easy
"""Highest Grade Honest Weight"" is the tagline of �. ?",P & G,P & G,ITC Kitchens of India,Sunfeast,Oreo,text,,Easy
"""Ek Balm Teen Kaam"" is the tagline of � ?",Zandu Balm,Amrutanjan Balm,Patanjali Balm,Zandu Balm,Dabur Balm,text,,Easy
"""Goodness of 7 natural oils"" is the tagline of �. ?",Emami Hair Oil,Keo Karpin,Emami Hair Oil,Patanjali Hair Oil,None of these,text,,Easy
