question,answer,option1,option2,option3,option4,type,difficulty,roundId,updatedAt
What are some of technological advancements that have made workplace collaboration easier?,OPTION4,High speed internet and digital/remote file sharing,Web-based programs and communications,Email and video-conferencing,All of the answers are correct,TEXT,EASY,6,2024-11-22T23:13:10.019138
Some of the benefits of collaboration in workplace are,OPTION4,Access to additional skills,Employee development,Quicker problem solving and solutions,All of the answers are correct,TEXT,EASY,6,2024-11-22T23:13:10.019138
Collaboration in the workplace is when two or more people (often groups) do what?,OPTION4,Work together,Share ideas,Share a common purpose,All of the answers are correct,TEXT,EASY,6,2024-11-22T23:13:10.019138
"To start a partnership business, what should be the minimum number of partners?",OPTION1,2,10,4,20,TEXT,EASY,6,2024-11-22T23:13:10.019138
What type of agreement is used to form a partnership business?,OPTION3,Written agreement,Oral agreement,Written or oral agreement,None of them,TEXT,EASY,6,2024-11-22T23:13:10.019138
Is a partnership firm considered as a separate legal entity?,OPTION1,No,Yes,Partially Yes,Yes in  case of public sector firm only,TEXT,EASY,6,2024-11-22T23:13:10.019138
What happens when interest on drawings is charged to partner?,OPTION3,Credited to partner�s current a/c,Not shown in current account,�Debited to partner�s capital a/c,None of the above,TEXT,EASY,6,2024-11-22T23:13:10.019138
What is the partnership written agreement known as?:,OPTION3,Partnership contract,Agreement,Partnership deed,Partnership Act,TEXT,EASY,6,2024-11-22T23:13:10.019138
"In absence of a partnership agreement, what will be the percentage of profit sharing ratio between the partners?",OPTION2,Unequal,Equal,It will depend on the experience of a partner,�It will depend on a partner�s capital,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which is not a feature of a partnership business?,OPTION2,Ease of formation,Limited liability,Limited life,Mutual agency,TEXT,EASY,6,2024-11-22T23:13:10.019138
In which kind of partnership one partner has unlimited liability and other partner have limited liability?,OPTION2,Partnership-at-will,Limited� liability partnership,General partnership,Particular partnership,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which types of partnership have no agreement in terms of the duration of partnership?,OPTION1,�Partnership-at-will,Limited partnership,General partnership,Particular partnership,TEXT,EASY,6,2024-11-22T23:13:10.019138
Joint venture is a:,OPTION2,Personal A/c,Nominal A/c,Real A/c,Memorandum A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Joint Bank A/c is a:,OPTION2,Nominal A/c,Personal A/c,Real A/c,Dummy A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Joint Venture with another co-venturer A/c is a:,OPTION2,Personal A/c,Nominal A/c,Real A/c,Memorandum A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which of the following account is opened when separate joint venture account is opened?,OPTION4,Joint Venture A/c,Joint Bank A/c,Coventure A/c,All of the above,TEXT,EASY,6,2024-11-22T23:13:10.019138
What does the balance in Menorandom Joint Venture A/c shows-,OPTION1,Profit or loss,Closing stock,Balance due from other co-venturer,Difference in Trial Balance,TEXT,EASY,6,2024-11-22T23:13:10.019138
The partners to joint venture are called,OPTION3,Bailor and bailee,Partner's,Coventurer,Principal and agent,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which of these is not a part of double entry system?,OPTION2,Joint Bank A/c,Memorandum A/c,Joint Venture A/c,Joint Venture with other co-venture A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Loss on joint venture is:,OPTION2,Credit to profit and loss A/c,Debited to co-ventures capital A/c,Credited to Capital Fund A/c,Debited to Suspense A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Stock left over taken by a Co-venture is:,OPTION3,Debited to Joint Venture A/c,Credited to Co-Venture A/c,Credited to Joint Venture A/c,Credited to Joint Bank A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which of these is not a feature of a joint venture?,OPTION1,Continuing business,No firm name,Partners called co-venturer,Partnership for limited purpose,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which of these accounts are not opened in a joint venture?,OPTION1,Stock reserve,Jount bank A/c,Joint Venture A/c,Co-Ventures Personal A/c,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which two leading telecommunication companies merged with each other in the year 2018?,OPTION2, BSNL and Idea,Vodafone and Idea,Bharti Airtel and BSNL,Jio and Vodafone,TEXT,EASY,6,2024-11-22T23:13:10.019138
"Which online food delivery platform acquired Uber Eats in 2020, for around $350 million?",OPTION2,Swiggy,Zomato,Flipkart Groceries,Amazon Pantry,TEXT,EASY,6,2024-11-22T23:13:10.019138
"Which leading private sector bank acquired digital payment company, Freecharge from Snapdeal in 2017?",OPTION1,Axis Bank,HDFC Bank,ICICI Bank,Deutche Bank,TEXT,EASY,6,2024-11-22T23:13:10.019138
�IDFC Bank and non-banking financial company (NBFC) Capital First announced the completion of their merger in which year?,OPTION2,2017,2018,2019,2020,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which of the following is NOT a benefit of business collaboration?,OPTION4,Shared resources,Increased innovation,Reduced competition,Guaranteed profitability,TEXT,EASY,6,2024-11-22T23:13:10.019138
A joint venture involves:,OPTION2,Companies merging their operations permanently,Two or more businesses forming a new entity to pursue a specific project,Outsourcing business operations to a third party,Licensing a product to another company,TEXT,EASY,6,2024-11-22T23:13:10.019138
What type of collaboration involves sharing brand names or trademarks for mutual benefit?,OPTION2,Licensing,Co-branding,Franchise agreements,Distribution partnerships,TEXT,EASY,6,2024-11-22T23:13:10.019138
What is the primary reason companies collaborate in research and development (R&D)?,OPTION2,To increase competition,To reduce costs and risks,To limit market expansion,To avoid intellectual property sharing,TEXT,EASY,6,2024-11-22T23:13:10.019138
"In strategic alliances, companies:",OPTION3,Merge into one legal entity,Form a legally binding contract to share profits,Maintain independence while working together on specific projects,Transfer ownership to a third-party organization,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which is a common challenge in business collaborations?,OPTION2,Improved communication,Misaligned objectives,Enhanced market access,Reduced compliance issues,TEXT,EASY,6,2024-11-22T23:13:10.019138
How can companies address trust issues in a collaboration?,OPTION2,By reducing formal agreements,By conducting due diligence and clear communication,By avoiding long-term partnerships,By relying on informal promises,TEXT,EASY,6,2024-11-22T23:13:10.019138
Two companies collaborate to design a product but compete in the same market. This situation is known as:,OPTION1,Coopetition,Vertical integration,Exclusive licensing,Mergers and acquisitions,TEXT,EASY,6,2024-11-22T23:13:10.019138
Which metric would best evaluate the success of a collaborative effort?,OPTION2,Number of meetings held,Revenue growth attributed to the collaboration,Increase in competitors,Employee satisfaction scores,TEXT,EASY,6,2024-11-22T23:13:10.019138
