id,question,answer,option1,option2,option3,option4,type,difficulty,roundId,updatedAt
1,"Which brand uses the slogan I'm livin it""?",OPTION3,HP,COCA COLA,McDonald's,Walmart,TEXT,EASY,5,2024-11-22T22:23:18.045013
2,"Which brand is associated with the slogan ""JUST DO IT""?",OPTION1,Nike,Adidas,Reebok,Goodyear,TEXT,EASY,5,2024-11-22T22:23:18.045013
3,"Which brand uses the slogan ""It's Finger-Lickin Good""?",OPTION3,Popeye's ,Mrs. Winters,KFC,ChikFila,TEXT,EASY,5,2024-11-22T22:23:18.045013
4,"Which brand uses the slogan ""Strong enough for a man, made for a women""?",OPTION2,Degree,Secret,Mitchum,Old Spice,TEXT,EASY,5,2024-11-22T22:23:18.045013
5,"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",OPTION2,Hershey's,M&M's,Reese's,Milky Way,TEXT,EASY,5,2024-11-22T22:23:18.045013
6,"Which brand is represented by the slogan ""Snap, crackle, pop""?",OPTION4,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,TEXT,EASY,5,2024-11-22T22:23:18.045013
7,"Which brand uses the slogan ""When you care enough to send the very best""?",OPTION3,FTD Flowers,FedEx,Hallmark,UPS,TEXT,EASY,5,2024-11-22T22:23:18.045013
8,"Which brand is associated with the slogan ""Always low prices""?",OPTION2,Kmart,Wal-Mart,Low's,The Home Depot,TEXT,EASY,5,2024-11-22T22:23:18.045013
9,"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",OPTION1,Mazda,Toyota,Subaru,Kia,TEXT,EASY,5,2024-11-22T22:23:18.045013
10,"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",OPTION3,Degree,Revlon,Maybelline,Maxim,TEXT,EASY,5,2024-11-22T22:23:18.045013
11,"Which brand uses the slogan ""Betcha can't eat just one""?",OPTION1,Lay's,Fritos,Doritos,Grippos,TEXT,EASY,5,2024-11-22T22:23:18.045013
12,"Which brand is associated with the slogan ""Eat Fresh""?",OPTION2,Panera,Subway,KFC,Jimmy John's,TEXT,EASY,5,2024-11-22T22:23:18.045013
13,"Which brand is represented by the slogan ""There are something money can't buy. For everything else, there's �...""?",OPTION3,Visa,American Express,Mastercard,Discover,TEXT,EASY,5,2024-11-22T22:23:18.045013
14,"Which airline uses the slogan ""You are now free to move about the country""?",OPTION1,Southwest,American ,Continental,Delta,TEXT,EASY,5,2024-11-22T22:23:18.045013
15,"Which brand is represented by the slogan ""Because You're Worth it""?",OPTION2,Maybelline,L'Oreal,Olay,Revlon,TEXT,EASY,5,2024-11-22T22:23:18.045013
16,"Which company is represented by the slogan ""There is a little bit of �.. in everybody's life""?",OPTION1,SAIL,Iron,NTPC,HAL,TEXT,EASY,5,2024-11-22T22:23:18.045013
17,"""Connecting India"" is a Tagline of �..?",OPTION3,Airtel,Vodafone Idea,BSNL,Reliance Jio,TEXT,EASY,5,2024-11-22T22:23:18.045013
18,"""Think Different"" is the Slogan of �..""?",OPTION3,HP,Dell,Apple,Samsung,TEXT,EASY,5,2024-11-22T22:23:18.045013
19,"""Are yahi to hai desh ki dhadkan"" is the slogan of �.?",OPTION3,Honda,Hero,Hero Honda,TVS,TEXT,EASY,5,2024-11-22T22:23:18.045013
20,"""The future of computing"" is the tagline of �..?",OPTION4,Samsung,Apple,LG,AMD,TEXT,EASY,5,2024-11-22T22:23:18.045013
21,"""Imagine the possibilities"" is the tagline of �..?",OPTION1,Samsung,Atari,MicroMax,Nokia,TEXT,EASY,5,2024-11-22T22:23:18.045013
22,"""The power of dreams"" is the Tagline of �..?",OPTION4,TVS,Bajaj,Hero Honda,Honda,TEXT,EASY,5,2024-11-22T22:23:18.045013
23,"""Hum me hai �."" is the Tagline of ",OPTION2,Honda,Hero,Yamaha,Royal Enfield,TEXT,EASY,5,2024-11-22T22:23:18.045013
24,"""Connecting People"" is the tagline of �..?",OPTION3,eKart,FedEx,Nokia,Vivo,TEXT,EASY,5,2024-11-22T22:23:18.045013
25,"""Connecting People Improving Lives"" is the Tagline of �...?",OPTION4,BlueDart,DTDC,Nokia,DHL,TEXT,EASY,5,2024-11-22T22:23:18.045013
26,"""Delivering Value"" is the tagline of �..?",OPTION4,eCom,Ekart Logistics,DHL,DTDC,TEXT,EASY,5,2024-11-22T22:23:18.045013
27,"""The energy of India"" is the Tagline of �....?",OPTION3,HAL,NTPC,IOCL,Bharat Petroleum,TEXT,EASY,5,2024-11-22T22:23:18.045013
28,"""We also make tomorrow"" is the tagline of �.?",OPTION1,TISCO,TELCO,SAIL,BHEL,TEXT,EASY,5,2024-11-22T22:23:18.045013
29,"""Alarm Bajne se pahle jago re"" is the Tagline of �..?",OPTION3,Ajanta Watches,Titan Watches,Tata Tea,Wagh Bakri Chay,TEXT,EASY,5,2024-11-22T22:23:18.045013
30,"""Taaza ho le"" is the Tagline of �..?",OPTION2,Reliance Fresh,Taaza Tea,Upper Assam Tea,Tata Tea,TEXT,EASY,5,2024-11-22T22:23:18.045013
31,The Tagline of Indian Tourism is �..?,OPTION2,Padharo Mahare Desh,Incredible India,Just Imagine,Rang Biranga Desh,TEXT,EASY,5,2024-11-22T22:23:18.045013
32,"""The man your man could smell like"" is the Tagline of �...?",OPTION3,Gillette,Park Avenue,Old Spice,Axe,TEXT,EASY,5,2024-11-22T22:23:18.045013
33,Think Different is the Tagline of �...?,OPTION2,Orange,Apple,Grapes,Banana,TEXT,EASY,5,2024-11-22T22:23:18.045013
34,"""Twist, Lick, Dunk"" is the Tagline of �..?",OPTION3,Skittles,Rainbow,Oreo,Kellogs,TEXT,EASY,5,2024-11-22T22:23:18.045013
